Smiles,IC50_nM
[2H]C1([2H])OC(N)=N[C@]12c1cc(-c3cncnc3)ccc1C[C@]21CC[C@@H](OC)[C@H](CC)C1,0.91
C[C@H]1SC(N)=N[C@](C)(c2cc(NC(=O)c3cc4c(cn3)OCCO4)ccc2F)[C@H]1F,0.93
COC1CCC2(CC1)Cc1ccc(-c3cc(F)cc(C#N)c3)cc1C21N=C(N)N(C)C1=O,0.96
CC(=O)N[C@@H](Cc1ccc(C)c(F)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,0.99
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(N)=N3)c2)cn1,1
C#CCOc1cnc(C(=O)Nc2cc(C)c(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)cn1,1
C#CCOc1cnc(C(=O)Nc2cc(Cl)c(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)cn1,1
C#CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)c2)cn1,1
C[C@@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCOCC(N)=N1,1
C[C@@]1(c2cc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)C[S@@]2(=O)=NCCCCN2C(N)=N1,1
C[C@@]1(c2cc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)CCOC(N)=N1,1
C[C@]1(c2cc(/C=C(\F)c3ccc(C#N)cn3)ccc2F)N=C(N)S[C@@]2(C(=O)N3CCC3)C[C@H]21,1
C[C@]1(c2cc(/C=C(\F)c3cnc(C#N)cn3)ccc2F)N=C(N)S[C@@]2(C(=O)N3CCOCC3)C[C@H]21,1
C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)OC[C@@H]1OCC(F)(F)F,1
C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)COCC1(F)F,1
C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)OC[C@@H]1OCC(F)(F)F,1
C[C@]1(c2cc(NC(=O)c3ccc(OCF)cn3)ccc2F)N=C(N)OC[C@@H]1F,1
C[C@]1(c2cc(NC(=O)c3ncc(F)cc3F)ccc2F)N=C(N)OC[C@@H]1F,1
C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CO1,1
CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)cn1,1
CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)COCC(N)=N3)c2)cn1,1
CC(=O)N[C@@H](Cc1cccc(F)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1
CC1(C)C(=N)N[C@](C)(c2nc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS1(=O)=O,1
CC1(C)C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CS1(=O)=O,1
CC1(COc2cc(F)c3c(c2)[C@]2(COC(N)=N2)c2cc(-c4cccnc4)ccc2O3)COC1,1
Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)[C@@](C)(CF)C(=N)N2)n1,1
COC[C@H]1SC(N)=N[C@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)[C@H]1F,1
COc1cc(C#N)cc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC(F)F)CC2)C3)c1,1
COC1CCC2(CC1)Cc1ccc(-c3cc(F)cc(F)c3)cc1C21N=C(N)N(C)C1=O,1
NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2CCCOC2)nc1F,1
NC1=NC2(COCC1)c1cc(-c3cccnc3F)ccc1Oc1cnc(-c3ccnc(F)c3)cc12,1
NC1=N[C@@]2(c3cc(NC(=O)c4ccc(C(F)(F)F)cn4)ccc3F)CO[C@H](C(F)(F)F)[C@H]2CO1,1.03
CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CC(=O)N(C)C(N)=N3)c2)cn1,1.05
[2H]C1([2H])OC(N)=N[C@]12c1cc(-c3cncnc3)ccc1C[C@@]21CC[C@H](OC)[C@@H](C)C1,1.1
[C-]#[N+]c1cc(C#N)cc(-c2ccc3c(c2)C2(N=C(N)N(C)C2=O)C2(CCC(OC)CC2)C3)c1,1.1
C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)cc(F)c2F)N=C(N)S[C@@]2(C(F)F)C[C@@H]12,1.1
C[C@H]1SC(N)=N[C@](C)(c2cc(NC(=O)c3ccc(OCF)cn3)ccc2F)[C@H]1F,1.1
C=C1C[C@@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)S1,1.1
CC(C)(C)C(=O)N[C@H]1CC[C@@H]2Oc3ccc(-c4cncc(F)c4)cc3C3(CSC(N)=N3)[C@H]2C1,1.1
Cc1onc2c1CC1(CC2)Cc2ccc(-c3cc(F)cc(Cl)c3)cc2C12N=C(N)N(C)C2=O,1.1
CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC(C)C)cc1[C@]21N=C(C)C(N)=N1,1.1
CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cncc(Cl)c3)cc1[C@@]21N=C(C)C(N)=N1,1.1
CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cncnc3)cc1C21C=C(F)C(N)=N1,1.1
COC1CCC2(CC1)Cc1ccc(-c3cc(F)cc(Cl)c3)cc1C21N=C(N)N2CCON=C21,1.1
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,1.2
Cc1onc2c1CC1(CC2)Cc2ccc(-c3cccc(C#N)c3)cc2C12N=C(N)N(C)C2=O,1.2
C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)cc(F)c2F)N=C(N)S[C@@]2(CF)C[C@H]21,1.3
CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](O)CC2)C3)c1,1.3
CNC(=O)[C@]12C[C@H]1[C@@](C)(c1cc(NC(=O)c3ccc(Cl)cn3)cc(F)c1F)N=C(N)S2,1.3
NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(N3CCOCC3)cc12,1.3
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)cn1,1.4
C[C@@]1(c2cc(NC(=O)c3ccc(OC(F)F)cn3)ccc2F)Cn2nc(C#N)cc2C(N)=N1,1.4
CC#Cc1cccc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,1.4
CC#Cc1cncc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)C2(CCC(OC)CC2)O3)c1,1.4
CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3)ccc1CC21CCc2ccccc2CC1,1.4
CN1C(=O)CC2(N=C1N)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=CCCOC2)nc1F,1.4
